tool	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 
run set	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17
/sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	wit1_status	wit1_cputime (s)	wit1_walltime (s)	wit1_memUsage	wit2_status	wit2_cputime (s)	wit2_walltime (s)	wit2_memUsage
loops/array_false-unreach-call_true-termination.i	false(unreach-call)	5.589691955	7.137218199997733	236711936	false(unreach-call)	3.403940706	3.5168829710019054	103600128				
loops/bubble_sort_false-unreach-call.i	unknown	5.485202663	6.30033326499688	196931584	ERROR (invalid witness file)	2.837183998	2.8606466889978037	96747520				
loops/count_up_down_false-unreach-call_true-termination.i	false(unreach-call)	5.296570793	6.128040221003175	160194560	false(unreach-call)	3.250803743	3.3256353819961078	97157120				
loops/eureka_01_false-unreach-call.i	unknown	7.745548679	8.804472048999742	208572416	ERROR (invalid witness file)	2.38336705	2.402283493000141	68112384				
loops/for_bounded_loop1_false-unreach-call_true-termination.i	false(unreach-call)	5.935933347	6.828554779996921	174915584	false(unreach-call)	3.348314799	3.4200746860005893	99491840				
loops/insertion_sort_false-unreach-call_true-termination.i	unknown	6.664171325	7.629061070001626	182022144	ERROR (invalid witness file)	2.210813256	2.229731145002006	68128768				
loops/invert_string_false-unreach-call_true-termination.i	unknown	6.474728603	7.388112827000441	168509440	ERROR (invalid witness file)	2.252327603	2.267720242998621	70483968				
loops/linear_search_false-unreach-call.i	TIMEOUT	51.420016672	91.01649463699869	266989568	ERROR (invalid witness file)	0.656117531	0.6666366429999471	30404608				
loops/ludcmp_false-unreach-call.i	unknown	5.32757222	6.095124999999825	168591360	ERROR (invalid witness file)	2.416774031	2.4327695009997115	72482816				
loops/matrix_false-unreach-call_true-termination.i	unknown	5.918418305	6.695491307997145	178561024	ERROR (invalid witness file)	2.28450228	2.3010713620024035	71401472				
loops/n.c24_false-unreach-call.i	unknown	4.386045561	5.171133645002556	134365184	ERROR (invalid witness file)	2.415461463	2.432848809999996	67829760				
loops/nec11_false-unreach-call_false-termination.i	false(unreach-call)	5.905352158	6.715427126000577	168558592	false(unreach-call)	3.30560808	3.3708208190000732	97234944				
loops/nec20_false-unreach-call_true-termination.i	true	4.353232402	5.060913453999092	124743680	unknown	4.603606076	4.699721425000462	127627264				
loops/s3_false-unreach-call.i	true	5.887077306	6.607075091000297	205090816	unknown	36.199292309	36.29406967199611	541450240				
loops/string_false-unreach-call_true-termination.i	unknown	6.184221097	6.999787742002809	156614656	ERROR (invalid witness file)	2.80614471	2.8248162160016363	92409856				
loops/sum01_bug02_false-unreach-call_true-termination.i	false(unreach-call)	11.909505156	16.111822275001032	224899072	TIMEOUT	97.002055056	97.10907356000098	785784832				
