tool	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 
run set	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17
/sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	wit1_status	wit1_cputime (s)	wit1_walltime (s)	wit1_memUsage	wit2_status	wit2_cputime (s)	wit2_walltime (s)	wit2_memUsage
heap-manipulation/bubble_sort_linux_false-unreach-call_false-valid-memcleanup.i	unknown	5.221322956	6.1044902840512805	162152448	ERROR (invalid witness file)	4.149932179	4.171919131942559	83906560				
heap-manipulation/dll_of_dll_false-unreach-call_false-valid-memcleanup.i	unknown	7.196222498	7.930365764012095	310362112	ERROR (invalid witness file)	3.060788943	3.0788663209532388	81788928				
heap-manipulation/merge_sort_false-unreach-call_false-valid-memcleanup.i	unknown	5.423544749	6.21046438702615	146513920	ERROR (invalid witness file)	2.826255598	2.8492228689719923	100806656				
heap-manipulation/sll_to_dll_rev_false-unreach-call_false-valid-memcleanup.i	unknown	5.541619555	6.360927717003506	170246144	ERROR (invalid witness file)	2.785220056	2.8079763130517676	74797056				
heap-manipulation/tree_false-unreach-call_false-valid-deref.i	unknown	5.24112614	6.0765314439777285	153636864	ERROR (invalid witness file)	2.725040669	2.7429648929974064	74309632				
heap-manipulation/tree_false-unreach-call_false-valid-memcleanup.i	unknown	5.144839737	6.001045971002895	151887872	ERROR (invalid witness file)	2.667459002	2.6881328640156426	73908224				
heap-manipulation/bubble_sort_linux_true-unreach-call_true-valid-memsafety.i	unknown	5.538541134	6.457065733033232	171274240					ERROR (invalid witness file)	2.84212255	2.860887451970484	94330880
heap-manipulation/dancing_true-unreach-call_false-valid-memtrack.i	unknown	7.138224503	8.10908369201934	195923968					ERROR (invalid witness file)	2.547752715	2.5714959260076284	75759616
heap-manipulation/dll_of_dll_true-unreach-call_true-valid-memsafety.i	unknown	7.449628379	8.327731092984322	315834368					ERROR (invalid witness file)	2.79623581	2.8170587670174427	73977856
heap-manipulation/merge_sort_true-unreach-call_true-valid-memsafety.i	unknown	5.472705624	6.345655483019073	150028288					ERROR (invalid witness file)	2.581669594	2.6008766310405917	73154560
heap-manipulation/sll_to_dll_rev_true-unreach-call_true-valid-memsafety.i	unknown	5.682772552	6.530992797983345	166985728					ERROR (invalid witness file)	2.633625537	2.6531519010313787	71942144
heap-manipulation/tree_true-unreach-call.i	unknown	4.89204009	5.614155295013916	154447872					ERROR (invalid witness file)	2.581529255	2.6003756070276722	75395072
list-properties/alternating_list_false-unreach-call_false-valid-memcleanup.i	unknown	6.238556376	7.030032176000532	181092352	ERROR (invalid witness file)	2.75373402	2.770909949031193	73113600				
