tool	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 
run set	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17
/sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	wit1_cputime (s)	wit1_memUsage	wit1_status	wit1_walltime (s)	wit2_cputime (s)	wit2_memUsage	wit2_status	wit2_walltime (s)
array-examples/data_structures_set_multi_proc_false-unreach-call_ground.i	false(unreach-call)	6.737023383	8.477628459979314	256966656	3.239239856	117059584	unknown	3.690970482013654				
array-examples/sorting_bubblesort_false-unreach-call2_ground.i	TIMEOUT	43.173480734	90.31393543002196	245342208	0.671321512	30269440	ERROR (invalid witness file)	0.678650779009331				
array-examples/sorting_bubblesort_false-unreach-call_ground.i	TIMEOUT	42.757829281	90.65866596903652	238383104	0.684629662	30392320	ERROR (invalid witness file)	0.700205166998785				
array-examples/sorting_selectionsort_false-unreach-call2_ground.i	TIMEOUT	44.940801673	91.00983588898089	247525376	0.615599671	29339648	ERROR (invalid witness file)	0.6235841680318117				
array-examples/sorting_selectionsort_false-unreach-call_ground.i	TIMEOUT	45.193291387	91.02446493098978	245911552	0.613435202	29802496	ERROR (invalid witness file)	0.6214467280078679				
array-examples/standard_allDiff2_false-unreach-call_ground.i	false(unreach-call)	6.30572743	7.229504971008282	170045440	2.889932407	89567232	unknown	2.9494506740011275				
array-examples/standard_copy1_false-unreach-call_ground.i	TIMEOUT	45.887797358	91.01089037401835	244350976	0.635741974	30097408	ERROR (invalid witness file)	0.6449674530304037				
array-examples/standard_copy2_false-unreach-call_ground.i	unknown	5.835978531	6.764445796026848	153935872	2.241603999	71577600	ERROR (invalid witness file)	2.2559849479584955				
array-examples/standard_copy3_false-unreach-call_ground.i	unknown	5.469893164	6.278309924993664	154292224	2.237540296	70348800	ERROR (invalid witness file)	2.2535169899929315				
array-examples/standard_copy4_false-unreach-call_ground.i	unknown	5.813836681	6.741768451000098	151269376	2.254251704	71643136	ERROR (invalid witness file)	2.274509823997505				
array-examples/standard_copy5_false-unreach-call_ground.i	unknown	5.34268912	6.182630388007965	153169920	2.339944545	71364608	ERROR (invalid witness file)	2.3567720290157013				
array-examples/standard_copy6_false-unreach-call_ground.i	unknown	5.265861269	6.0771704179933295	152989696	2.292747371	70107136	ERROR (invalid witness file)	2.310401308001019				
array-examples/standard_copy7_false-unreach-call_ground.i	unknown	6.023214271	6.764225871011149	182288384	2.259684411	71479296	ERROR (invalid witness file)	2.276046255021356				
array-examples/standard_copy8_false-unreach-call_ground.i	unknown	5.561686863	6.366292040969711	154898432	2.313152037	70807552	ERROR (invalid witness file)	2.3380676599917933				
array-examples/standard_copy9_false-unreach-call_ground.i	unknown	5.341363322	6.1694038300192915	152072192	2.292564832	70410240	ERROR (invalid witness file)	2.310743913985789				
array-examples/standard_copyInitSum2_false-unreach-call_ground.i	unknown	5.833058773	6.61684441001853	180322304	2.22483503	70193152	ERROR (invalid witness file)	2.2508889149758033				
array-examples/standard_init1_false-unreach-call_ground.i	TIMEOUT	42.420463043	91.0123920419719	241741824	0.602152689	29327360	ERROR (invalid witness file)	0.6128239550162107				
array-examples/standard_init2_false-unreach-call_ground.i	unknown	27.329737292	51.93579805496847	208277504	2.244731452	71839744	ERROR (invalid witness file)	2.265071588975843				
array-examples/standard_init3_false-unreach-call_ground.i	unknown	25.17014309	48.347365677007474	221556736	2.218584787	70299648	ERROR (invalid witness file)	2.236819610989187				
array-examples/standard_init4_false-unreach-call_ground.i	unknown	28.934320545	49.028345931030344	213184512	2.272409507	70991872	ERROR (invalid witness file)	2.2885902150301263				
array-examples/standard_init5_false-unreach-call_ground.i	unknown	29.196525102	50.86328459304059	213319680	2.225354391	71778304	ERROR (invalid witness file)	2.251621472008992				
array-examples/standard_init6_false-unreach-call_ground.i	unknown	31.195678874	60.911156271002255	220229632	2.2437653	71450624	ERROR (invalid witness file)	2.2657725820317864				
array-examples/standard_init7_false-unreach-call_ground.i	unknown	32.869915831	57.700182218977716	227184640	2.197181295	70656000	ERROR (invalid witness file)	2.21828115102835				
array-examples/standard_init8_false-unreach-call_ground.i	unknown	34.773670743	69.65449216397246	226926592	2.19180339	71290880	ERROR (invalid witness file)	2.2134764819638804				
array-examples/standard_init9_false-unreach-call_ground.i	unknown	39.06588025	66.30149287899258	232439808	2.306201031	69988352	ERROR (invalid witness file)	2.331569639965892				
array-examples/standard_minInArray_false-unreach-call_ground.i	TIMEOUT	45.382096361	91.00891115301056	240734208	0.625105526	29290496	ERROR (invalid witness file)	0.6350773369777016				
array-examples/standard_partition_false-unreach-call_ground.i	unknown	33.839270276	65.57007724494906	230539264	2.229272328	71368704	ERROR (invalid witness file)	2.254745375015773				
array-examples/standard_running_false-unreach-call.i	unknown	5.525127338	6.266481660015415	167784448	2.444545694	76349440	ERROR (invalid witness file)	2.4623896480188705				
array-examples/data_structures_set_multi_proc_trivial_true-unreach-call_ground_true-termination.i	true	4.440362888	5.166389779013116	129540096					3.737369807	104415232	ERROR	3.795842559018638
array-examples/data_structures_set_multi_proc_true-unreach-call_ground.i	unknown	43.320378	81.59436854202067	237629440					2.903907147	86147072	ERROR (invalid witness file)	2.919500749965664
array-examples/relax_true-unreach-call.i	unknown	7.857325214	8.775620189961046	202342400					3.462780318	92008448	ERROR (invalid witness file)	3.489633946970571
array-examples/sanfoundry_02_true-unreach-call_ground.i	unknown	36.586095428	70.42535644001327	238665728					2.843279602	89702400	ERROR (invalid witness file)	2.8641436740290374
array-examples/sanfoundry_10_true-unreach-call_ground.i	true	4.408324619	5.136731856036931	129003520					249.248396906	2000101376	OUT OF MEMORY	249.83563185395906
array-examples/sanfoundry_24_true-unreach-call.i	true	4.617926054	5.343579789972864	129662976					3.828248502	165896192	ERROR	4.638505909999367
array-examples/sanfoundry_27_true-unreach-call_ground.i	TIMEOUT	45.347911804	91.01286799297668	238002176					0.670380532	30306304	ERROR (invalid witness file)	0.6793904880178161
array-examples/sanfoundry_43_true-unreach-call_ground.i	true	4.562858442	5.234418084961362	137793536					3.298395153	101613568	true	3.3445938879740424
array-examples/sorting_bubblesort_true-unreach-call_ground.i	unknown	47.085115334	85.05324361904059	240988160					2.865890689	88268800	ERROR (invalid witness file)	2.883439762983471
