tool	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 
run set	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17	sv-comp17
/sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	wit1_status	wit1_cputime (s)	wit1_walltime (s)	wit1_memUsage	wit2_status	wit2_cputime (s)	wit2_walltime (s)	wit2_memUsage
loops/array_false-unreach-call_true-termination.i	false(unreach-call)	8.078517839	11.292831266997382	230109184	false(unreach-call)	3.720609297	4.342276457013213	132505600				
loops/bubble_sort_false-unreach-call.i	unknown	11.035041997	13.88364185600949	211259392	ERROR (invalid witness file)	2.65557791	2.6755159979948075	78028800				
loops/count_up_down_false-unreach-call_true-termination.i	false(unreach-call)	8.060362321	10.1183133500017	155516928	false(unreach-call)	3.34469986	3.4245572249928955	94539776				
loops/eureka_01_false-unreach-call.i	TIMEOUT	49.761062239	91.0119170639955	220852224	ERROR (invalid witness file)	0.655993066	0.6653537750098621	29995008				
loops/for_bounded_loop1_false-unreach-call_true-termination.i	false(unreach-call)	6.308133385	7.195842069995706	170373120	false(unreach-call)	3.786293037	3.8693337209988385	99463168				
loops/insertion_sort_false-unreach-call_true-termination.i	unknown	6.941002961	7.90698826899461	178212864	ERROR (invalid witness file)	2.320389461	2.34333963599056	69869568				
loops/invert_string_false-unreach-call_true-termination.i	unknown	6.442704618	7.346149181990768	189390848	ERROR (invalid witness file)	2.365490794	2.383715748001123	69885952				
loops/linear_search_false-unreach-call.i	TIMEOUT	49.819270389	91.01369470800273	247107584	ERROR (invalid witness file)	0.718499042	0.7291076279943809	29978624				
loops/ludcmp_false-unreach-call.i	unknown	5.655469081	6.449281541994424	153862144	ERROR (invalid witness file)	2.618745417	2.6448032850021264	73486336				
loops/matrix_false-unreach-call_true-termination.i	TIMEOUT	46.877906928	91.00867983599892	246214656	ERROR (invalid witness file)	0.672363573	0.6820498919987585	29790208				
loops/n.c24_false-unreach-call.i	unknown	4.615262593	5.364560468005948	135430144	ERROR (invalid witness file)	2.441431658	2.4743730920017697	69218304				
loops/nec11_false-unreach-call_false-termination.i	false(unreach-call)	6.241696418	7.106568689996493	160886784	false(unreach-call)	3.482578839	3.5568548279989045	97607680				
loops/nec20_false-unreach-call_true-termination.i	false(unreach-call)	6.229333445	7.122961628003395	159789056	false(unreach-call)	3.974161418	4.053558264989988	108855296				
loops/s3_false-unreach-call.i	true	6.461595456	7.247062236987404	206741504	unknown	40.940890305	41.12606008499279	539910144				
loops/string_false-unreach-call_true-termination.i	unknown	7.179376352	8.019787729004747	160141312	ERROR (invalid witness file)	4.195220404	4.218627245994867	93016064				
