tool	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 
run set	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18
/sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	wit1_cputime (s)	wit1_memUsage	wit1_status	wit1_walltime (s)	wit2_cputime (s)	wit2_memUsage	wit2_status	wit2_walltime (s)
heap-manipulation/bubble_sort_linux_false-unreach-call_false-valid-memcleanup.i	unknown	9.382769163	10.18251891498221	211095552	0.076939885	7532544	ERROR (1)	0.08328579005319625				
heap-manipulation/dll_of_dll_false-unreach-call_false-valid-memcleanup.i	unknown	13.194873081	14.098258728976361	417841152	0.072916935	7634944	ERROR (1)	0.08324313897173852				
heap-manipulation/merge_sort_false-unreach-call_false-valid-memcleanup.i	unknown	9.085196049	9.934944516979158	198078464	0.067084113	7557120	ERROR (1)	0.07479556801263243				
heap-manipulation/sll_to_dll_rev_false-unreach-call_false-valid-memcleanup.i	unknown	9.650848981	10.52784494496882	238637056	0.063915879	7528448	ERROR (1)	0.0742042480269447				
heap-manipulation/tree_false-unreach-call_false-valid-deref.i	unknown	8.832378613	9.570547548995819	210051072	0.064152144	7598080	ERROR (1)	0.07406151300529018				
heap-manipulation/tree_false-unreach-call_false-valid-memcleanup.i	unknown	8.455504035	9.311898905027192	215011328	0.065981826	7593984	ERROR (1)	0.07563210400985554				
heap-manipulation/bubble_sort_linux_true-unreach-call_true-valid-memsafety.i	unknown	9.600841876	10.376426714996342	211300352					0.003098493	516096	true	0.007212993979919702
heap-manipulation/dancing_true-unreach-call_false-valid-memtrack.i	unknown	7.676048129	8.437221166037489	196567040					0.003214536	516096	true	0.007968224002979696
heap-manipulation/dll_of_dll_true-unreach-call_true-valid-memsafety.i	unknown	13.036125026	14.014037615968846	418201600					0.003219441	507904	true	0.008760311000514776
heap-manipulation/merge_sort_true-unreach-call_true-valid-memsafety.i	unknown	8.545484378	9.409822637040634	182460416					0.00342488	380928	true	0.009383393975440413
heap-manipulation/sll_to_dll_rev_true-unreach-call_true-valid-memsafety.i	unknown	9.862174168	10.811179662006907	211558400					0.004601678	434176	true	0.009337447001598775
heap-manipulation/tree_true-unreach-call.i	unknown	8.754255703	9.620323328999802	210161664					0.003704113	512000	true	0.009811202005948871
list-properties/alternating_list_false-unreach-call_false-valid-memcleanup.i	unknown	7.154920741	7.953466147999279	185786368	0.065609797	7598080	ERROR (1)	0.07615829794667661				
list-properties/list_false-unreach-call_false-valid-memcleanup.i	unknown	6.917969786	7.715623343014158	185643008	0.06682419	7548928	ERROR (1)	0.07708303403342143				
list-properties/list_flag_false-unreach-call_false-valid-memcleanup.i	unknown	7.220340319	8.0334646240226	184098816	0.065431997	7548928	ERROR (1)	0.07604612701106817				
list-properties/list_search_false-unreach-call_false-valid-memcleanup.i	unknown	5.753539355	6.549203569011297	152780800	0.067196988	7598080	ERROR (1)	0.07503679004730657				
list-properties/simple_false-unreach-call_false-valid-memcleanup.i	unknown	6.638254749	7.428362547012512	181514240	0.066383463	7688192	ERROR (1)	0.07631611701799557				
list-properties/splice_false-unreach-call_false-valid-memcleanup.i	unknown	7.472823637	8.30425618501613	182640640	0.065883057	7692288	ERROR (1)	0.07558495900593698				
list-properties/alternating_list_true-unreach-call_true-valid-memsafety.i	unknown	7.887472625	8.734157219994813	184602624					0.003534206	692224	true	0.009573076036758721
list-properties/list_flag_true-unreach-call_false-valid-memtrack.i	unknown	7.795545543	8.689677542017307	181506048					0.003838002	520192	true	0.008862295013386756
list-properties/list_search_true-unreach-call_false-valid-memcleanup.i	unknown	7.764507071	8.560862682003062	206303232					0.003547428	405504	true	0.009547505993396044
list-properties/list_true-unreach-call_false-valid-memtrack.i	unknown	7.440614263	8.28301364701474	185307136					0.00458993	503808	true	0.009652185020968318
list-properties/simple_built_from_end_true-unreach-call_false-valid-memtrack.i	unknown	7.248315846	8.09505339898169	179990528					0.00483855	569344	true	0.009867137996479869
list-properties/simple_true-unreach-call_false-valid-memtrack.i	unknown	6.553682965	7.385321112000383	182681600					0.004134615	507904	true	0.00840442202752456
list-properties/splice_true-unreach-call_false-valid-memtrack.i	unknown	7.09523568	7.955296341038775	183783424					0.004493649	507904	true	0.009668165992479771
ldv-regression/1_3_true-termination.c_false-unreach-call.i	false(unreach-call)	5.814918164	6.749618473986629	177074176	0.601017304	18296832	false(unreach-call)	0.6164915660046972				
ldv-regression/alt_test_true-termination.c_false-unreach-call.i	false(unreach-call)	6.059840488	6.9875730510102585	175067136	0.712001989	18337792	false(unreach-call)	0.7253473100136034				
ldv-regression/callfpointer_true-termination.c_false-unreach-call.i	false(unreach-call)	5.377637408	6.250351221009623	162050048	0.639343753	18288640	false(unreach-call)	0.651798906037584				
ldv-regression/fo_test_true-termination.c_false-unreach-call.i	unknown	4.421969602	5.154672283038963	134737920	0.659490355	18419712	ERROR (1)	0.6975656019640155				
ldv-regression/mutex_lock_int_true-termination.c_false-unreach-call.i	false(unreach-call)	5.698249196	6.550810219021514	167256064	0.602782713	18313216	false(unreach-call)	0.6157592079835013				
ldv-regression/mutex_lock_struct_true-termination.c_false-unreach-call.i	false(unreach-call)	5.422067929	6.289767530048266	159784960	0.601855001	18378752	false(unreach-call)	0.6146079350146465				
ldv-regression/recursive_list_true-termination.c_false-unreach-call.i	false(unreach-call)	6.146534484	7.014232351037208	166404096	0.595498802	18370560	false(unreach-call)	0.6096517420373857				
ldv-regression/rule57_ebda_blast_true-termination.c_false-unreach-call.i	unknown	7.004222938	7.803565670037642	205967360	0.581167876	18276352	ERROR (1)	0.6690613270038739				
ldv-regression/rule60_list2_true-termination.c_false-unreach-call_1.i	unknown	6.586483617	7.333068486012053	196894720	0.622636448	18313216	ERROR (1)	0.6829554279684089				
