tool	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 	skink 
run set	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18	sv-comp18
/sv-benchmarks/c/	status	cputime (s)	walltime (s)	memUsage	wit1_cputime (s)	wit1_memUsage	wit1_status	wit1_walltime (s)	wit2_cputime (s)	wit2_memUsage	wit2_status	wit2_walltime (s)
loops/invert_string_true-unreach-call_true-termination.i	true	4.576872275	5.311689221998677	130519040					0.003951465	540672	true	0.009348939987830818
loops/linear_sea.ch_true-unreach-call.i	TIMEOUT	50.71101368	91.01473523897585	252768256					0.003162401	626688	true	0.00881055899662897
loops/lu.cmp_true-unreach-call.i	true	6.057743538	6.740487287985161	196497408					0.004716826	630784	true	0.009588563989382237
loops/matrix_true-unreach-call_true-termination.i	true	4.272206055	4.970406426000409	127598592					0.003807485	528384	true	0.009802417014725506
loops/n.c11_true-unreach-call_false-termination.i	TIMEOUT	50.302216132	91.01865602401085	255942656					0.00419011	630784	true	0.008676014025695622
loops/n.c40_true-unreach-call_true-termination.i	true	9.080724141	11.162462660984602	185270272					0.004825697	569344	true	0.00981130701256916
loops/nec40_true-unreach-call_true-termination.i	true	9.364055835	11.522265929030254	192958464					0.004562307	389120	true	0.009248954011127353
loops/string_true-unreach-call_true-termination.i	true	5.008596368	5.77760110097006	148713472					0.003658917	380928	true	0.009505159978289157
loops/sum01_true-unreach-call_true-termination.i	true	4.397145431	5.112486015015747	128684032					0.004579105	536576	true	0.009391990024596453
loops/sum03_true-unreach-call_false-termination.i	true	4.329046607	5.071719260013197	128307200					0.003500626	630784	true	0.00906666397349909
loops/sum04_true-unreach-call_true-termination.i	true	4.130212509	4.904596110980492	125403136					0.003521409	630784	true	0.009372212982270867
loops/sum_array_true-unreach-call.i	unknown	31.160010126	55.010753442009445	262311936					0.005529214	540672	true	0.012454964977223426
loops/terminator_02_true-unreach-call_true-termination.i	TIMEOUT	54.227552803	91.01197242102353	297672704					0.00414715	503808	true	0.010374658973887563
loops/terminator_03_true-unreach-call_true-termination.i	true	4.210201786	4.959148889989592	126767104					0.003432571	630784	true	0.009278321056626737
loops/trex01_true-unreach-call_true-termination.i	true	10.92979946	13.761624294973444	206467072					0.004072753	638976	true	0.01088806800544262
loops/trex02_true-unreach-call_true-termination.i	true	4.395791013	5.1436788940336555	129482752					0.004551381	507904	true	0.009275024989619851
loops/trex03_true-unreach-call_true-termination.i	TIMEOUT	43.639411165	90.50046275003115	264826880					0.003809169	516096	true	0.01009777799481526
loops/trex04_true-unreach-call_false-termination.i	true	4.691587674	5.386760673020035	136826880					0.003738391	696320	true	0.010251500993035734
loops/veris.c_NetBSD-libc__loop_true-unreach-call_true-termination.i	unknown	5.5421354	6.261213796038646	172388352					0.004588711	548864	true	0.009447426011320204
loops/veris.c_OpenSER__cases1_stripFullBoth_arr_true-unreach-call_true-termination.i	unknown	4.379701139	5.067868193960749	135049216					0.004828418	536576	true	0.009704330004751682
